,bookname,Author and publication,Rating,Reviewers,Link,Photo,Genre
80,庆余年·伍,猫腻 / 中国友谊出版公司 / 2008-10 / 28.00元,8.3,6388,https://book.douban.com/subject/3244065/,https://img9.doubanio.com/view/subject/s/public/s3304888.jpg,穿越
81,步步惊心（上下）,桐华 / 花山文艺出版社 / 2009-02 / 38.0,8.3,9213,https://book.douban.com/subject/3412107/,https://img9.doubanio.com/view/subject/s/public/s8829734.jpg,穿越
82,到开封府混个差事,欧阳墨心 / 珠海出版社 / 2008-01 / 24.8,8.3,446,https://book.douban.com/subject/2998731/,https://img9.doubanio.com/view/subject/s/public/s2959983.jpg,穿越
83,天定风华4·此心倾（上下）,天下归元 / 江苏文艺出版社 / 2013-11 / 59.90元,8.3,548,https://book.douban.com/subject/25750166/,https://img9.doubanio.com/view/subject/s/public/s27165355.jpg,穿越
84,庆余年·陆,猫腻 / 中国友谊出版公司 / 2008-10 / 29.80元,8.2,7214,https://book.douban.com/subject/3244068/,https://img9.doubanio.com/view/subject/s/public/s3304890.jpg,穿越
85,木兰无长兄1,祈祷君 / 百花洲文艺出版社 / 2016-2 / 29.80元,8.2,761,https://book.douban.com/subject/26718236/,https://img9.doubanio.com/view/subject/s/public/s28637057.jpg,穿越
86,掌事(卷七),清楓聆心 / 說頻文化 / 2013-7-31 / NTD 250,8.2,114,https://book.douban.com/subject/25700794/,https://img9.doubanio.com/view/subject/s/public/s27011472.jpg,穿越
87,江山3·群雄逐鹿,墨武 / 云南人民出版社 / 2010-7 / 29.80元,8.2,219,https://book.douban.com/subject/4900241/,https://img9.doubanio.com/view/subject/s/public/s4402725.jpg,穿越
88,庆余年·叁,猫腻 / 中国友谊出版公司 / 2008-09 / 28.00元,8.2,6862,https://book.douban.com/subject/3165385/,https://img9.doubanio.com/view/subject/s/public/s3207463.jpg,穿越
89,步步惊心,桐华 / 海洋出版社 / 2006-4 / 20.00元,8.2,12311,https://book.douban.com/subject/1785029/,https://img9.doubanio.com/view/subject/s/public/s1656340.jpg,穿越
90,天定风华5·啭九天（上下）,天下归元 / 江苏文艺出版社 / 2014-1 / 59.80元,8.2,404,https://book.douban.com/subject/25791942/,https://img9.doubanio.com/view/subject/s/public/s27185320.jpg,穿越
91,不负如来不负卿Ⅱ·大结局,小春 / 北岳文艺出版社 / 2008-09 / 26.8,8.2,8195,https://book.douban.com/subject/3218402/,https://img9.doubanio.com/view/subject/s/public/s3312285.jpg,穿越
92,步步惊心,桐华 / 湖南文艺出版社 / 2011-9 / 38.00元,8.2,6270,https://book.douban.com/subject/6794017/,https://img9.doubanio.com/view/subject/s/public/s6938227.jpg,穿越
93,庆余年·贰,猫腻 / 中国友谊出版公司 / 2008-07 / 28.00元,8.2,7941,https://book.douban.com/subject/3165135/,https://img9.doubanio.com/view/subject/s/public/s3207458.jpg,穿越
94,掌事(卷八),清楓聆心 / 說頻文化 / 2013-7-31 / NTD 250,8.2,103,https://book.douban.com/subject/25700796/,https://img9.doubanio.com/view/subject/s/public/s27011474.jpg,穿越
95,木兰无长兄5,祈祷君 / 百花洲文艺出版社 / 2016-8 / 29.80元,8.2,193,https://book.douban.com/subject/26846663/,https://img9.doubanio.com/view/subject/s/public/s28939180.jpg,穿越
96,窃明2,灰熊猫 / 南海出版社 / 2008-06 / 29.8,8.2,555,https://book.douban.com/subject/3120720/,https://img9.doubanio.com/view/subject/s/public/s3148885.jpg,穿越
97,木兰无长兄8,祈祷君 / 百花洲文艺出版社 / 2017-3 / 29.80元,8.2,175,https://book.douban.com/subject/27082729/,https://img9.doubanio.com/view/subject/s/public/s29488685.jpg,穿越
98,重生于康熙末年（二） : 繁华处,雁九 / 黄山书社 / 2009-4 / 26.80元,8.2,153,https://book.douban.com/subject/3622270/,https://img9.doubanio.com/view/subject/s/public/s4585949.jpg,穿越
99,寻秦记,黄易 / 云南出版集团公司，云南人民出版社 / 2009-4-1 / 156.00元,8.2,529,https://book.douban.com/subject/4041246/,https://img9.doubanio.com/view/subject/s/public/s28909313.jpg,穿越
100,大帝姬1-10套装,希行 / 知翎文化 / 2019-9-12 / NTD 3000,8.2,588,https://book.douban.com/subject/30406543/,https://img9.doubanio.com/view/subject/s/public/s33914146.jpg,穿越
101,莫道浮云终蔽日 : 官居一品之四,三戒大师 / 中国青年出版社 / 2011-3 / 25.00元,8.1,117,https://book.douban.com/subject/5938978/,https://img9.doubanio.com/view/subject/s/public/s6279385.jpg,穿越
102,不负如来不负卿,小春 / 浙江文艺出版社 / 2012-8 / 29.80元,8.1,1819,https://book.douban.com/subject/11443660/,https://img9.doubanio.com/view/subject/s/public/s11118695.jpg,穿越
103,失落的唐骑,阿菩 / 长江文艺出版社 / 2012-9 / 29.80元,8.1,102,https://book.douban.com/subject/11593600/,https://img9.doubanio.com/view/subject/s/public/s16238478.jpg,穿越
104,窃明3,灰熊猫 / 长征出版社 / 2008-09 / 29.8,8.1,503,https://book.douban.com/subject/3214462/,https://img9.doubanio.com/view/subject/s/public/s3260368.jpg,穿越
105,康州美国佬在亚瑟王朝,(美)马克﹒吐温 / 何文安、张煤 / 译林出版社 / 2002-1 / 16.50,8.1,174,https://book.douban.com/subject/1098640/,https://img9.doubanio.com/view/subject/s/public/s2594156.jpg,穿越
106,独步天下 : 九周年怀旧珍藏版,李歆 / 中国华侨出版社 / 2015-3 / 75.00元,8.1,300,https://book.douban.com/subject/26333780/,https://img9.doubanio.com/view/subject/s/public/s28015979.jpg,穿越
107,慶餘年 參部曲 7 凌遲,貓膩 / 紫宸社 / 2010-3-22,8.1,121,https://book.douban.com/subject/5985006/,https://img9.doubanio.com/view/subject/s/public/s4640980.jpg,穿越
